Word,Socialness,LgSUBTLWF,OLD,PLD,Concreteness,Imageability,BOI,SER,Auditory.Lancaster,Gustatory.Lancaster,Haptic.Lancaster,Interoceptive_Lancaster,Olfactory.Lancaster,Visual.Lancaster,Foot_leg.Lancaster,Hand_arm.Lancaster,Head.Lancaster,Mouth.Lancaster,Torso.Lancaster,Minkowski3.perceptual.Lancaster,Exclusivity.perceptual.Lancaster,Valence_Warriner,Arousal_Warriner,Dominance.Warriner,Val_pos,Val_neg,Val_ext,Valence.Mohammad,Arousal.Mohammad,Dominance.Mohammad,SemanticDiversity,AoA.Rating,AoA.Test,GenderAssociation,Emotion.Troche,Polarity.Troche,Social.Troche,Moral.Troche,Thought.Troche,Social.Binder,Human.Binder,Communication.Binder,Self.Binder,Cognition.Binder,Benefit.Binder,Harm.Binder,Pleasant.Binder,Unpleasant.Binder,Happy.Binder,Sad.Binder,Angry.Binder,Disgusted.Binder,Fearful.Binder,Surprised.Binder,ANS
rainbow,2.590909091,2.611,3.1,2.95,4.57,6.8,NA,5.3,0,0,0,0,0,4.684210526,0.19047619,0.238095238,4.238095238,0.523809524,0.380952381,4.684210526,1,7.3,3.94,6.11,7.3,NA,2.3,0.878,0.35,0.462,1.61,4.26,2,2.171,3.69,4.12,2.03,1.94,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595654666
raincoat,2.083333333,1.929,3.3,2.95,5,NA,5.954545455,NA,0.722222222,0.111111111,2.888888889,0.666666667,0.666666667,3.833333333,0.473684211,2.473684211,1.736842105,0.421052632,2.947368421,4.334021124,0.41875,5.63,3.48,5.42,5.63,NA,0.63,0.458,0.3,0.525,1.33,5.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247817084
rainmaker,3.090909091,NA,NA,NA,3.26,NA,NA,NA,2.428571429,0.142857143,0.642857143,0.928571429,0.357142857,2.785714286,0.263157895,0.421052632,1.052631579,0.578947368,0.263157895,3.333905797,0.362745098,6.1,4.43,5.43,6.1,NA,1.1,0.448,0.509,0.544,NA,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rainstorm,1.571428571,1.623,3.4,3.45,4.86,NA,3.8,NA,3.9,0.4,2.4,0.85,1.65,4.3,2.857142857,3.285714286,3.428571429,1.333333333,2.619047619,5.404069292,0.288888889,5.75,4.96,4.29,5.75,NA,0.75,0.392,0.535,0.377,NA,4.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331377029
ramble,3.916666667,1.505,1.65,1.65,2.54,3.5,2.56,3,4,0.055555556,0.166666667,0.388888889,0.055555556,1.555555556,0.380952381,0.428571429,1.619047619,2.952380952,0.142857143,4.078207722,0.633928571,4.32,5,5.89,NA,4.32,0.68,0.615,0.464,0.44,1.5,10.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264232039
rambling,3.818181818,1.845,1.8,1.75,2.72,NA,NA,NA,4.166666667,0.055555556,0.555555556,1,0.111111111,1.666666667,0.6,0.4,2.05,3.3,0.05,4.275224453,0.544117647,3.58,4.04,4.68,NA,3.58,1.42,0.448,0.51,0.528,1.76,10.75,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357526541
rampage,4.565217391,1.732,2.75,3.1,3.14,4.7,1.583333333,3.27,3.166666667,0,0.833333333,1.222222222,0.111111111,4.166666667,2.263157895,2.421052632,2.315789474,1.578947368,1.631578947,4.740030159,0.438596491,4.21,7.57,4.43,NA,4.21,0.79,0.24,0.875,0.509,1.61,10.14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489903569
rancher,3.454545455,1.681,1.9,1.85,4.83,NA,4.68,NA,1.65,0.1,0.8,0.25,0.5,3.35,1.6,2.05,2.15,0.85,1.45,3.496353345,0.488721805,5.95,4.32,6.04,5.95,NA,0.95,0.51,0.52,0.543,NA,9.72,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.440029442
ranger,4.217391304,2.58,1.5,1.9,4.21,NA,4.16,NA,1.611111111,0.277777778,0.777777778,0.444444444,0.277777778,3.333333333,1.947368421,1.947368421,3,1.684210526,1.157894737,3.471057387,0.454545455,5.79,3.5,6,5.79,NA,0.79,0.526,0.545,0.705,1.75,8.67,4,5.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59217298
rank,3.909090909,2.638,1.1,1,2.86,3.4,2.25,2.27,1.578947368,0,0.105263158,0.578947368,0.052631579,2.684210526,0.380952381,0.714285714,1.952380952,0.952380952,0.523809524,2.86316866,0.536842105,5.26,3.67,5.57,5.26,NA,0.26,0.531,0.38,0.686,1.88,9.42,6,5.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63046813
ransom,4.565217391,2.698,2.7,2.5,3.31,4.8,3.074074074,2.8,1.210526316,0.157894737,0.263157895,0.736842105,0.105263158,1.631578947,0.789473684,1.421052632,2.631578947,1.947368421,0.842105263,1.870133498,0.371794872,2.32,4.45,2.43,NA,2.32,2.68,0.582,0.8,0.565,1.62,9.83,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555715919
rant,4.545454545,1.544,1.3,1,3.07,2.6,2.24,3.91,4.294117647,0.058823529,0.117647059,0.705882353,0.058823529,1.823529412,0.388888889,0.611111111,2.111111111,4.277777778,0.277777778,4.407127153,0.6,3.43,5.23,4.45,NA,3.43,1.57,0.219,0.774,0.482,1.56,9.22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362427711
rapid,2.619047619,2.35,1.85,1.9,3.07,5,2.04,3.6,1.3,0,1.25,2.35,0.05,2,1.882352941,0.941176471,1.117647059,0.941176471,1.058823529,2.929004426,0.338129496,4.57,6.45,5.24,NA,4.57,0.43,0.667,0.788,0.768,2.04,8.62,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651230335
rapport,5.476190476,1.518,2.8,2.2,1.84,2.1,NA,2.18,2.705882353,0,0.529411765,1.470588235,0,2.764705882,0.631578947,1.263157895,2.421052632,2.631578947,0.736842105,3.537633339,0.37007874,6.26,3.73,5.61,6.26,NA,1.26,0.771,0.664,0.567,1.74,13.18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.374431968
rate,3.863636364,3.104,1,1,2.5,2.6,NA,1.2,1.611111111,0.5,0.5,0.611111111,0.333333333,2.666666667,0,1,1.85,1.45,0.05,2.870819164,0.375,5.68,4.17,5,5.68,NA,0.68,0.521,0.297,0.407,1.89,8.84,4,4.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651679873
rationalize,4.16,1.505,2.8,2.65,1.52,NA,NA,NA,2.555555556,0,0.222222222,1.611111111,0.055555556,1.444444444,0.15,0.5,3.55,1.65,0.2,2.880357804,0.433962264,5.47,3.59,6.43,5.47,NA,0.47,0.633,0.4,0.746,1.75,11.63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293431491
rationing,3.571428571,1.477,2.9,2.35,2.54,NA,NA,NA,0.444444444,0.277777778,0.944444444,0.555555556,0.166666667,3.333333333,0.421052632,2.263157895,2.894736842,2.315789474,0.368421053,3.366827944,0.553398058,4.11,3.62,5.3,NA,4.11,0.89,0.396,0.404,0.54,1.57,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431629986
rattle,2.272727273,2.238,1.65,1.35,4.07,6.1,4.409090909,3.09,4.476190476,0,1.380952381,0.476190476,0,1.571428571,0.4,3.4,2.6,1.2,1.1,4.583751337,0.56626506,4.47,4.48,4.81,NA,4.47,0.53,0.49,0.429,0.268,1.63,4.5,2,3.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394326687
raw,2.25,2.716,1.3,1.15,3.35,4.3,2.4,3.7,0.25,2.75,1.875,0.625,1.625,3.6875,0.333333333,1.166666667,1.277777778,2.111111111,0.611111111,4.345908171,0.317919075,4.37,5.14,4.79,NA,4.37,0.63,0.143,0.349,0.342,1.86,7.17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627533793
reactor,2.666666667,2.312,2.05,2.3,3.68,NA,3.12,NA,1.470588235,0,0.882352941,0.411764706,0.294117647,3.117647059,0.555555556,1.305555556,1.833333333,1,0.416666667,3.248013452,0.504761905,4.47,4.42,4.52,NA,4.47,0.53,0.438,0.794,0.772,0.71,12.63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572949886
read,3.714285714,4.09,1.1,1,3.56,NA,2.08,NA,1.333333333,0.111111111,0.444444444,0.5,0.111111111,4.5,0.35,1.3,4.6,1.5,0.1,4.54216993,0.626984127,6.73,3.7,6.11,6.73,NA,1.73,0.74,0.283,0.611,1.88,4.11,2,3.6,NA,NA,NA,NA,NA,1.1071,3.25,5,4.75,5.25,4,0.3571,4.6071,0.3214,3.5,0.3571,0.4286,0.25,0.25,0.9286,0.669448674
readiness,3.695652174,1.785,2.5,2.35,1.64,NA,NA,NA,1.85,0.05,0.65,2.6,0.05,2.75,1.368421053,1.578947368,2.473684211,1.736842105,1.105263158,3.556349807,0.339622642,6.24,3.92,6,6.24,NA,1.24,0.708,0.531,0.7,2.02,9.67,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558751583
reality,4.619047619,3.189,2.4,2.8,1.72,NA,NA,NA,2.842105263,1.631578947,2.421052632,2.894736842,1.789473684,3.684210526,1,1.136363636,3.090909091,1.272727273,1.090909091,4.95269573,0.134482759,5.73,4.1,7.26,5.73,NA,0.73,0.786,0.365,0.787,1.85,10.05,8,NA,4.55,4.39,3.97,4.48,5.31,3.0435,1.5217,1,3.5652,2.6957,2.4348,1.7826,2.913,1.7391,2.6087,2.3913,1.5652,1.087,1.7826,2.3913,0.662551284
realize,3.954545455,3.606,2.3,2.45,2.03,NA,NA,NA,1,0.3125,0.375,2.5,0.375,2,0.052631579,0.210526316,3.947368421,1.052631579,0.052631579,2.91466948,0.333333333,6.44,3.24,6.94,6.44,NA,1.44,0.757,0.462,0.647,1.77,8.23,6,3.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602663994
reap,3.380952381,2.124,1.55,1,3.14,3,2.615384615,1.8,1.35,0.15,1.4,1.05,0.3,3.1,0.684210526,1.894736842,1.736842105,1.157894737,0.368421053,3.307524154,0.401360544,5.23,4.68,6.57,5.23,NA,0.23,0.677,0.422,0.623,1.98,9.83,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351189643
reason,3.565217391,3.994,1.95,1.6,1.93,2.7,NA,1.8,2.95,0,0,2,0,1.8,0.238095238,0.476190476,3.238095238,1.904761905,0.285714286,3.405768035,0.437037037,6.27,3.33,6.11,6.27,NA,1.27,0.781,0.455,0.712,2.14,7.84,4,3.853,3,4.4,2.69,4.77,5.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680836916
